BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6359,70,,S1,8684 15TH AVENUE,,11228,1,1,2,"1,933","4,080",1930,1,S1,"1,300,000",2020/4/28
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6360,48,,A5,14 BAY 10TH STREET,,11228,1,0,1,"2,513","1,428",1930,1,A5,"849,000",2020/3/18
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6364,74,,A5,72 BAY 14TH STREET,,11214,1,0,1,"2,492",972,1950,1,A5,0,2019/8/15
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6370,66,,A9,28 BAY 20TH STREET,,11214,1,0,1,"2,417","1,584",1930,1,A9,0,2019/6/11
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6370,66,,A9,28 BAY 20TH STREET,,11214,1,0,1,"2,417","1,584",1930,1,A9,0,2019/6/18
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6371,19,,A9,79 BAY 20TH STREET,,11214,1,0,1,"2,320","1,566",1930,1,A9,0,2020/2/21
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6377,32,,A9,23 BAY 26TH STREET,,11214,1,0,1,"3,867","2,288",1899,1,A9,"1,200,000",2019/9/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6392,65,,A2,140 BAY 8 STREET,,11228,1,0,1,"3,222","1,804",1940,1,A2,"975,000",2020/1/21
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6395,20,,A5,135 BAY 10TH STREET,,11228,1,0,1,"2,417","2,000",1935,1,A5,0,2019/9/9
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,4,,S1,1763 BATH AVENUE,,11214,1,1,2,980,"1,525",1927,1,S1,0,2019/6/19
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6425,15,,B1,231 BAY 7TH STREET,,11228,2,0,2,"2,191","1,708",1935,1,A5,"990,000",2019/10/10
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6426,29,,A1,195 BAY 8TH ST,,11228,1,0,1,"1,920","1,498",1945,1,A1,0,2020/1/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6428,65,,A9,228 BAY 11TH STREET,,11228,1,0,1,"1,990","1,328",1925,1,A9,0,2019/8/2
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,10,,A5,235 BAY 11TH STREET,,11228,1,0,1,"1,800","1,296",1935,1,A5,0,2019/9/25
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,56,,A5,8804 16TH AVENUE,,11214,1,0,1,"1,655","1,156",1960,1,A5,0,2019/11/25
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6433,7,,A5,1709 CROPSEY AVENUE,,11214,1,0,1,"1,378","1,568",1920,1,A5,0,2020/3/3
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,66,,A9,300 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A9,"850,000",2019/10/29
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,67,,A9,302 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A9,"768,000",2019/6/17
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,212,,A5,8866 16TH AVENUE,,11214,1,0,1,"1,696",992,1950,1,A5,"765,000",2019/9/5
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,245,,A5,1586 INDEPENDENCE AVENUE,,11228,1,0,1,"2,307","1,188",1950,1,A5,"985,000",2020/1/23
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,94,,A5,275 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,"830,000",2019/7/19
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,256,,A5,298 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,"717,866",2019/11/14
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,293,,A5,8881 16TH AVENUE,,11214,1,0,1,"2,127","1,188",1940,1,A5,"858,000",2019/12/16
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,301,,A5,317 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,0,2019/9/4
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,302,,A5,319 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,"680,000",2019/8/29
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,304,,A5,323 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,0,2019/8/23
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,308,,A5,331 BAY 13TH STREET,,11214,1,0,1,"2,074","1,240",1940,1,A5,"550,000",2019/11/6
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,335,,A5,1141 SHORE PARKWAY,,11214,1,0,1,"1,878",986,1945,1,A5,"832,000",2019/6/11
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,338,,A5,1127 SHORE PARKWAY,,11214,1,0,1,"1,775","1,188",1940,1,A5,"890,000",2019/12/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6464,161,,A5,8878 19TH AVENUE,,11214,1,0,1,"1,547","1,320",1940,1,A5,10,2019/11/5
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,81,,A5,240 BAY 23RD STREET,,11214,1,0,1,"1,780","1,320",1945,1,A5,"730,000",2019/8/20
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,91,,A5,243 BAY 23 STREET,,11214,1,0,1,"6,367","1,320",1945,1,A5,"995,000",2019/11/5
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,5,,B1,8671 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,2019/8/8
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,18,,B1,8637 14TH AVENUE,,11228,2,0,2,"2,320","2,160",1930,1,B1,0,2019/11/20
