BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,13,,A5,4716 AMBOY ROAD,,10312,1,0,1,"1,871",910,2002,1,A5,0,2019/7/10
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,23,,A1,525 SYCAMORE STREET,,10312,1,0,1,"10,000","2,848",1980,1,A1,"775,000",2019/12/13
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5399,33,,A2,247 KOCH BOULEVARD,,10312,1,0,1,"7,035","1,528",1970,1,A2,0,2019/8/7
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,19,,A1,9 SANDGAP STREET,,10312,1,0,1,"2,500","1,744",1950,1,A1,"520,000",2019/8/14
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,17,,A5,91 EAGAN AVENUE,,10312,1,0,1,"1,845","1,854",1986,1,A5,"480,000",2020/1/14
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,44,,A5,62 SEGUINE PLACE,,10312,1,0,1,"1,755","1,373",1986,1,A5,"430,000",2019/9/30
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,57,,A5,34 SEGUINE PLACE,,10312,1,0,1,"1,471","1,068",1986,1,A5,"370,000",2019/9/26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6209,17,,A5,208 SNEDEN AVENUE,,10312,1,0,1,"1,950","1,592",2006,1,A5,0,2019/9/13
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,22,,A5,5 EAGAN AVENUE,,10312,1,0,1,"1,508","1,521",1986,1,A5,"460,000",2019/12/26
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,28,,A1,96 JEANNETTE AVENUE,,10312,1,0,1,"5,400","2,376",1970,1,A1,"685,000",2019/6/25
