date,price,yr_built
3/12/2015,530000,1900
11/21/2014,740500,1900
8/18/2014,625000,1900
12/4/2014,595000,1900
12/19/2014,485000,1900
3/11/2015,565000,1900
11/7/2014,352950,1900
6/5/2014,440000,1900
5/8/2014,712000,1900
5/16/2014,490000,1900
3/4/2015,1.02E+06,1900
5/30/2014,425000,1900
9/26/2014,499000,1900
6/19/2014,464000,1900
12/1/2014,430000,1900
5/12/2015,685000,1900
10/28/2014,759000,1900
2/13/2015,265000,1900
5/1/2015,210000,1900
2/23/2015,635000,1900
5/29/2014,550000,1900
7/24/2014,551000,1900
4/28/2015,819000,1900
6/10/2014,558000,1900
11/4/2014,611000,1900
7/1/2014,1.30E+06,1900
12/23/2014,199999,1900
9/19/2014,285000,1900
5/7/2014,526000,1900
5/8/2015,337500,1900
8/8/2014,870000,1900
9/16/2014,169900,1900
3/17/2015,382888,1900
6/24/2014,1.01E+06,1900
2/25/2015,200000,1900
5/20/2014,452000,1900
4/22/2015,431000,1900
10/9/2014,850000,1900
8/13/2014,829000,1900
10/20/2014,850000,1900
9/9/2014,783200,1900
4/15/2015,730000,1900
6/16/2014,660000,1900
3/17/2015,450000,1900
9/17/2014,549000,1900
6/18/2014,192500,1900
5/4/2015,625000,1900
5/28/2014,1.40E+06,1900
9/29/2014,1.26E+06,1900
4/6/2015,975000,1900
7/22/2014,452000,1900
2/18/2015,685000,1900
2/3/2015,450000,1900
3/30/2015,510000,1900
9/9/2014,214000,1900
7/15/2014,498000,1900
9/18/2014,614950,1900
7/1/2014,485000,1900
8/26/2014,550000,1900
3/11/2015,130000,1900
7/28/2014,255500,1900
7/1/2014,600000,1900
4/6/2015,415000,1900
4/7/2015,887200,1900
10/23/2014,560000,1900
12/2/2014,432500,1900
12/15/2014,325000,1900
4/20/2015,905000,1900
5/4/2014,628000,1900
6/25/2014,1.33E+06,1900
10/22/2014,700000,1900
8/25/2014,500000,1900
10/30/2014,465000,1900
6/9/2014,550000,1900
12/22/2014,500000,1900
3/24/2015,835000,1900
5/30/2014,240000,1900
7/25/2014,275000,1900
6/13/2014,1.70E+06,1900
8/13/2014,415000,1900
8/4/2014,210000,1900
8/18/2014,554600,1900
6/13/2014,718500,1900
7/29/2014,179000,1900
10/14/2014,850000,1900
4/24/2015,240000,1900
2/23/2015,400000,1900
5/30/2014,385000,1901
4/18/2015,615000,1901
8/28/2014,550000,1901
5/19/2014,487250,1901
10/1/2014,412000,1901
7/8/2014,780000,1901
7/9/2014,700000,1901
7/22/2014,302282,1901
7/21/2014,365000,1901
6/19/2014,285000,1901
2/6/2015,410000,1901
6/23/2014,405000,1901
12/18/2014,630000,1901
1/26/2015,600000,1901
11/6/2014,774000,1901
2/9/2015,432500,1901
3/23/2015,386500,1901
7/24/2014,535610,1901
7/7/2014,570000,1901
7/9/2014,599000,1901
4/27/2015,380000,1901
4/21/2015,546000,1901
8/14/2014,680000,1901
12/16/2014,589000,1901
5/7/2015,865000,1901
7/28/2014,590000,1901
6/11/2014,427000,1901
11/25/2014,1.23E+06,1901
9/4/2014,625000,1901
6/3/2014,650000,1902
5/11/2014,842500,1902
6/11/2014,665000,1902
6/24/2014,660000,1902
6/19/2014,1.33E+06,1902
8/5/2014,520000,1902
9/4/2014,624000,1902
