LAND SQUARE FEET,GROSS SQUARE FEET, SALE PRICE 
2000,832,10000
4000,975,10000
3604,1128,10000
2342,1360,10000
1900,1568,10000
4000,1590,10000
3999,1640,10000
3000,1672,10000
3242,1854,10000
3376,2460,10000
4300,2524,10000
2000,3300,10000
3000,1674,11000
3999,1640,12500
3000,1674,14000
1800,1274,15000
2500,1434,15000
2100,992,16000
2008,1640,19640
1600,1048,20000
2000,1120,20000
5655,1304,20000
6000,1360,20000
4000,1968,20000
2220,2320,20000
1633,3702,20010
4000,1788,20411
2200,1148,20700
3400,1420,23000
1667,1208,24000
2310,1557,24000
2500,1184,25000
2538,1464,25100
2600,1152,27600
2600,1312,30000
2500,1600,30000
3000,1674,30000
2520,1690,30000
2206,1700,30000
3278,1840,30000
3306,1886,30000
2064,2640,30000
2000,3658,30000
1508,854,35000
2967,1430,35000
2185,3018,35000
2500,2256,37500
2500,1192,40000
1200,1500,40000
3690,2275,40000
2000,2720,45000
1567,482,50000
4000,1196,50000
2535,1256,50000
2193,1280,50000
2500,1420,50000
1690,2455,50000
1600,1062,50350
1530,1080,53000
4000,1140,55000
1358,706,60000
4387,1200,60000
3200,1748,60000
4000,1817,60000
4000,1125,62500
2400,1280,65910
6510,2600,66667
2520,1377,66800
2800,1760,67000
3500,880,70000
4000,2112,72000
3800,956,72500
1980,1688,73000
3589,1356,75000
2500,1360,75000
3600,1368,75000
2000,1448,76050
1508,854,80000
2500,1266,80000
1900,1216,82629
1800,1152,85000
6000,2692,85000
4000,1979,87000
2880,720,90000
2535,1097,90000
5000,1752,92554
1802,1205,95000
568,450,100000
1750,540,100000
3420,1224,100000
3861,1268,100000
2538,1464,100000
2000,2072,100000
1925,2400,100000
4138,2400,100000
1626,3667,100000
2200,1497,101525
3000,2084,102000
2353,1264,103000
6000,2622,105444
3400,786,110000
1508,854,110000
2500,1248,110000
2442,956,110500
1800,1188,112600
1900,880,115000
6000,2731,115500
1769,3243,116000
5484,1230,118500
5000,1672,118500
3000,640,120000
4000,1075,120000
3800,1320,124000
2000,1376,124000
3800,912,125000
2500,1085,125000
2331,3180,125000
2000,1657,128000
2000,340,130000
2677,1340,130000
4100,845,132600
3745,1797,134900
2500,1284,135000
2000,1008,136500
2000,1148,138403
1520,1190,140000
2518,1328,141000
2502,2248,141000
2000,812,149750
1750,540,150000
2000,832,150000
2100,1216,150000
3000,1368,150000
2500,1404,150000
2400,1600,150000
4000,1700,150000
3008,1870,150000
4000,1896,150000
2000,2000,150000
2000,1360,152100
4657,930,155000
2250,1640,156000
4000,1050,157440
2500,1536,158000
2000,820,160000
4814,1162,160000
2262,1188,160000
3450,2068,160000
2000,812,161215
5137,1044,161750
5000,2853,161780
2300,1404,163000
1544,1024,163400
1920,608,167000
2477,1024,169000
3456,1696,169131
1800,1224,170000
2050,1472,170000
5000,1962,170000
4462,2040,172000
4600,2286,174000
6172,700,175000
1775,1156,175000
3996,1196,175000
2585,1328,175000
2025,1376,175000
4800,1463,175000
2800,1509,175000
3362,1964,175000
2000,2300,175000
3503,2130,175625
2375,1474,176000
1600,804,177450
4000,1504,177650
2500,987,179000
2900,1060,180000
5106,1865,180500
1602,1204,181506
3142,1596,184000
3900,1040,184300
2875,4275,185000
3387,1566,185500
1600,1960,187500
2500,1132,189618
2626,618,190000
2494,960,190000
2342,1188,190000
3100,1484,190000
2000,3132,192000
1613,1683,193032
4360,1200,193629
1900,992,195000
2000,1508,195000
3300,1320,195675
4005,2900,196000
2548,1000,200000
4200,1050,200000
2350,1148,200000
2500,1260,200000
2000,1410,200000
3000,1422,200000
2523,1472,200000
6000,1594,200000
3200,1672,200000
7500,1875,200000
4000,2288,200000
5000,2325,200000
2100,2635,200000
6000,2736,200000
1500,4500,200000
11610,11500,200000
3840,1970,201045
2661,1500,201500
2050,3372,202800
1888,608,206011
2300,1234,208000
5134,1224,208750
5000,1320,209000
1575,1080,209337
4000,938,210000
4480,960,210000
2000,1335,210000
2330,1350,210000
3538,1428,210000
3440,1596,210000
4000,1687,210000
5000,1972,210000
2150,3517,210000
4000,1145,211000
2180,3440,212500
2000,888,213750
1640,863,214000
5000,1570,215000
1967,1732,215000
2502,1747,215001
2494,960,215746
2500,1216,217000
4000,1980,217716
1908,1216,218750
1200,778,220000
4000,976,220000
305,986,220000
11237,1592,220000
3192,2192,221413
5000,2080,223000
4000,1256,223120
5157,1979,223476
4800,908,225000
1470,952,225000
4400,1082,225000
2542,1104,225000
1992,1232,225000
2000,1280,225000
2312,1601,225000
4000,2100,225000
2000,896,226455
1225,525,227500
2500,1056,228000
5925,1128,228000
2193,858,228500
1853,2142,229000
4100,1044,230000
2984,1552,230000
4000,1886,230000
4750,3364,230000
3142,1232,231000
2380,1120,232000
3310,1716,232750
2500,1156,233000
1875,2200,234000
1915,703,234500
2300,1408,235000
3520,1594,235000
2156,1617,236250
2200,1168,237500
4000,944,238000
4000,2300,238000
4000,360,240000
2150,1280,240000
2433,1536,240000
4000,2183,242250
2400,800,242540
4000,960,243000
1800,1224,243200
3000,1548,244000
4000,1040,245000
2000,1360,245000
2500,1584,245000
2996,2288,246000
4000,1400,246500
4000,1066,247000
3800,1232,247000
4641,1936,248750
1915,563,250000
2000,868,250000
2500,896,250000
2400,920,250000
1842,1000,250000
4000,1000,250000
2000,1036,250000
1775,1080,250000
3000,1080,250000
1782,1106,250000
1948,1150,250000
1208,1152,250000
3500,1180,250000
3800,1192,250000
2000,1200,250000
5040,1210,250000
2442,1264,250000
3200,1284,250000
1634,1296,250000
4000,1309,250000
2100,1328,250000
2650,1344,250000
2000,1360,250000
3000,1672,250000
4000,1680,250000
2175,1830,250000
1600,1880,250000
5737,2046,250000
3804,2160,250000
2100,2480,250000
2430,2480,250000
2000,2540,250000
3700,4700,250000
2472,1216,250600
4507,1328,251700
2517,1600,252000
3500,993,253000
3000,5045,254563
1633,1232,255000
1852,1686,255000
3089,1920,255000
2000,1600,256000
1768,800,260000
1768,800,260000
1920,1024,260000
2000,1065,260000
2417,2040,260000
2000,4012,260000
2000,1148,262000
2500,1600,262000
3300,1803,262500
1725,525,265000
1350,732,265000
2435,983,265000
1600,1120,265000
4037,1196,265000
1494,864,266000
4000,1260,266000
3700,1316,266000
2000,1720,267000
2400,1176,268000
2180,756,269000
3000,980,270000
2500,1264,270000
1917,1315,270000
4863,2366,270000
3840,1156,270645
2500,1120,270750
1900,1404,270750
4000,1020,271000
1995,966,271700
2844,1224,274000
3000,1248,274000
2000,944,275000
4000,1025,275000
1791,1152,275000
1975,1432,275000
4000,1718,275000
2575,1880,275000
6000,2319,275000
1900,1248,275500
2100,1752,275500
1900,646,277499
2602,1254,277500
1900,646,280000
1900,756,280000
1908,800,280000
2250,886,280000
2000,1036,280000
2800,1719,280000
2024,1872,280000
2700,2112,280000
2500,1136,280353
2116,952,281000
2000,896,281400
3000,1298,282000
2574,1617,282500
2500,1592,283000
2000,1120,283250
1200,778,283737
2400,680,283920
3800,2275,284934
1600,976,285000
2783,1147,285000
3700,1280,285000
2500,1376,285000
4278,1430,285000
2000,1432,285000
2000,2176,285000
1900,646,286985
2800,2000,287000
3200,1068,287500
2280,1054,289750
5000,730,290000
2025,784,290000
2853,1564,290000
4000,1784,290000
3285,1820,290000
2193,1920,290000
2750,2016,290000
2000,2750,290000
3400,1750,290243
3000,832,290500
4272,1650,292000
3000,1377,294000
2375,1188,295000
2340,1284,295000
3192,1284,295000
4000,1680,295000
3000,1756,295000
2000,1168,296000
2973,1372,296000
2200,1617,296000
3804,926,296270
2000,820,296500
3800,2250,296500
2333,1800,297695
2000,868,299000
2675,1014,299000
4275,1155,299000
2075,854,299130
4067,720,300000
1155,756,300000
4242,768,300000
1400,784,300000
2100,840,300000
2500,870,300000
3800,880,300000
2500,896,300000
2200,924,300000
1551,952,300000
3125,956,300000
3813,1000,300000
3430,1012,300000
1600,1024,300000
3000,1120,300000
1642,1152,300000
1515,1160,300000
2548,1170,300000
4860,1173,300000
2000,1184,300000
2300,1200,300000
2600,1224,300000
1775,1230,300000
2342,1248,300000
2450,1260,300000
2982,1264,300000
3000,1358,300000
4000,1398,300000
2500,1416,300000
3040,1430,300000
1700,1438,300000
2517,1450,300000
2300,1456,300000
3700,1456,300000
3325,1480,300000
5885,1506,300000
3000,1549,300000
