BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,65,,A1,4455 PARK AVENUE,,10457,1,0,1,"1,622","1,587",1899,1,A1,458000 ,2020/1/31
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,67,,A1,4451 PARK AVENUE,,10457,1,0,1,"1,646","1,495",1899,1,A1,275000 ,2020/3/16
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,70,,A1,4445 PARK AVENUE,,10457,1,0,1,"1,694","1,497",1899,1,A1,388500 ,2019/7/23
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A9,2327 WASHINGTON AVE,,10458,1,0,1,"1,095","1,260",1910,1,A9,165000 ,2020/3/2
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3039,29,,A9,2327 WASHINGTON AVENUE,,10458,1,0,1,"1,095","1,260",1910,1,A9,110000 ,2019/12/6
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,130,,B1,482 CLAREMONT PARKWAY,,10457,2,0,2,"2,000","2,400",1993,1,B1,0 ,2020/3/17
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,137,,B1,496 CLAREMONT PARKWAY,,10457,2,0,2,"2,000","2,400",1993,1,B1,0 ,2019/6/12
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,149,,B1,523 EAST 171 STREET,,10457,2,0,2,"2,000","2,400",1993,1,B1,505000 ,2019/11/14
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,152,,B1,517 EAST 171 STREET,,10457,2,0,2,"2,000","2,400",1993,1,B1,630000 ,2019/8/20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,114,,B1,3854 3 AVENUE,,10457,2,0,2,"2,883","2,394",1995,1,B1,0 ,2020/4/6
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,128,,B1,559 CLAREMONT PARKWAY,,10457,2,0,2,"2,361","2,394",1995,1,B1,0 ,2020/2/26
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457,2,0,2,"2,000","2,364",1899,1,B2,365000 ,2019/11/21
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3027,26,,B2,414 EAST 178 STREET,,10457,2,0,2,"2,000","2,364",1899,1,B2,734000 ,2020/4/22
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3034,138,,B1,1937 WASHINGTON AVE,,10457,2,0,2,"2,250","3,204",1995,1,B1,645000 ,2020/1/28
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,110,,B1,2044 BATHGATE AVE,,10457,2,0,2,"2,785","2,565",1998,1,B1,610000 ,2019/6/28
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3046,54,,B2,2043 BATHGATE AVENUE,,10457,2,0,2,"2,483","1,512",1901,1,B2,461370 ,2020/1/27
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3047,17,,B3,2123 BATHGATE AVE,,10457,2,0,2,"2,500","1,404",1901,1,B3,629000 ,2020/4/24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,39,,B2,2249 BASSFORD AVENUE,,10457,2,0,2,899,"1,716",1901,1,B2,500000 ,2019/9/19
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,64,,B2,506 EAST 183 STREET,,10458,2,0,2,"1,316","2,112",1901,1,B2,477134 ,2019/8/1
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,90,,B2,505 EAST 182 STREET,,10457,2,0,2,"1,960","2,278",1901,1,B2,360000 ,2019/8/19
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,4,,B1,507 EAST 183 STREET,,10458,2,0,2,"1,380","2,805",1901,1,B1,440000 ,2019/10/24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,5,,B9,509 EAST 183RD STREET,,10458,2,0,2,"1,420","2,805",1901,1,B9,649500 ,2019/8/23
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,2903,106,,C0,3818 PARK AVENUE,,10457,3,0,3,"3,090","3,402",2003,1,C0,10 ,2020/1/15
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3029,28,,C0,2092 WEBSTER AVENUE,,10457,3,0,3,"2,122","3,510",1899,1,C0,0 ,2019/9/4
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3030,158,,C0,412 EAST 183RD STREET,,10458,3,0,3,"1,978","3,654",2005,1,C0,0 ,2020/2/26
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3031,145,,C0,412 EAST 187 STREET,,10458,3,0,3,"1,784","2,302",2004,1,C0,0 ,2020/2/4
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3031,145,,C0,412 EAST 187 STREET,,10458,3,0,3,"1,784","2,302",2004,1,C0,0 ,2019/11/27
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3036,33,,C0,2091 WASHINGTON AVENUE,,10457,3,0,3,"2,022","3,854",1899,1,C0,0 ,2019/12/28
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3037,98,,C0,2141 WASHINGTON AVENUE,,10457,3,0,3,"2,670","2,974",1899,1,C0,549855 ,2019/12/24
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3037,107,,C0,459 EAST 181ST STREET,,10457,3,0,3,"1,095","2,779",2006,1,C0,712400 ,2019/8/8
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3038,124,,C0,466 EAST 183 STREET,,10458,3,0,3,"1,204","2,889",2004,1,C0,0 ,2019/7/23
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3038,124,,C0,466 EAST 183 STREET,,10458,3,0,3,"1,204","2,889",2004,1,C0,0 ,2019/6/24
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3038,126,,C0,470 EAST 183,,10458,3,0,3,"1,278","2,955",2004,1,C0,0 ,2019/6/19
