BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,376,43,,S1,743 EAST 6TH STREET,,10009,1,1,2,"2,090","3,680",1940,1,S1,3200000 ,2019/7/24
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,390,61,,A4,189 EAST 7TH STREET,,10009,1,0,1,987,"2,183",1860,1,A4,0 ,2019/9/25
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,404,1,,B9,166 AVENUE A,,10009,2,0,2,"1,510","4,520",1900,1,B9,0 ,2019/7/22
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,393,9,,C0,604 EAST 11TH STREET,,10009,3,0,3,"2,375","5,110",1939,1,C0,0 ,2019/10/24
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,372,23,,C1,300 EAST 3RD STREET,,10009,12,0,12,"2,393","7,989",2001,2,C1,1950000 ,2019/8/8
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,375,28,,C4,738 EAST 6TH STREET,,10009,11,0,11,"1,750","6,500",1900,2,C4,0 ,2019/9/11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,376,23,,C3,"262 EAST 7TH STREET, 4",,10009,4,0,4,"2,059","4,154",1900,2,C3,600000 ,2019/12/12
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,376,26,,C3,268 EAST 7TH STREET,,10009,4,0,4,"2,065","3,491",1900,2,C3,4350000 ,2019/10/31
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3B",,10009,19,0,19,"2,772","13,248",1920,2,C4,2500 ,2020/2/11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 2A",,10009,19,0,19,"2,772","13,248",1920,2,C4,2500 ,2020/2/11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 1B/2B",,10009,19,0,19,"2,772","13,248",1920,2,C4,290000 ,2020/2/7
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3A",,10009,19,0,19,"2,772","13,248",1920,2,C4,2500 ,2020/2/11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 5B",,10009,19,0,19,"2,772","13,248",1920,2,C4,125375 ,2020/3/13
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,278 EAST 7TH STREET,,10009,19,0,19,"2,772","13,248",1920,2,C4,1269168 ,2019/12/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 1C/1D",,10009,19,0,19,"2,772","13,248",1920,2,C4,2500 ,2020/2/11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 3C/D",,10009,19,0,19,"2,772","13,248",1920,2,C4,2500 ,2020/2/11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,31,,C4,"278 EAST 7TH STREET, 2C/D",,10009,19,0,19,"2,772","13,248",1920,2,C4,2500 ,2020/2/11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,41,,C4,"745 EAST 6TH STREET, 2D",,10009,28,0,28,"4,542","18,254",1900,2,C4,585000 ,2020/2/6
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,41,,C4,"745 EAST 6TH STREET, 3C",,10009,28,0,28,"4,542","18,254",1900,2,C4,625000 ,2019/9/12
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,377,50,,C2,"275 EAST 7TH STREET, 3",,10009,5,0,5,"2,169","6,294",1900,2,C2,1175000 ,2019/8/6
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,390,50,,C1,"209 EAST 7TH STREET, 1W",,10009,29,0,29,"3,900","18,099",1900,2,C1,220000 ,2019/11/5
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,392,33,,C7,"155 AVENUE C, 5A",,10009,17,1,18,"1,909","8,441",1900,2,C7,84413 ,2019/12/16
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,397,33,,C7,14 AVENUE B,,10009,25,3,28,"3,574","19,412",1925,2,C7,0 ,2019/9/9
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,399,24,,C1,230 EAST 4TH STREET,,10009,18,0,18,"4,616","18,690",1900,2,C1,2583642 ,2019/7/30
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,56,,C4,519 EAST 6TH STREET,,10009,10,0,10,"2,272","7,295",1920,2,C4,5250000 ,2019/6/7
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,404,4,,C7,170 AVENUE A,,10009,25,2,27,"3,020","15,162",1920,2,C7,0 ,2019/9/9
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,404,56,,C3,299 EAST 10TH STREET,,10009,4,0,4,"2,610","4,530",1900,2,C3,0 ,2019/11/12
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,405,5,,C1,182-184 AVENUE A,,10009,32,0,32,"4,918","15,392",1920,2,C1,11500000 ,2019/7/2
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,27,,C4,"544 EAST 13TH STREET, 4AB",,10009,14,0,14,"2,468","10,888",1900,2,C4,2500 ,2019/6/4
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,27,,C4,"544 EAST 13 STREET, 2C",,10009,14,0,14,"2,468","10,888",1900,2,C4,2500 ,2019/6/4
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,27,,C4,"544 EAST 13TH STREET, 6AB",,10009,14,0,14,"2,468","10,888",1900,2,C4,133115 ,2020/2/6
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,406,47,,C4,535 EAST 12TH STREET,,10009,8,1,9,"2,581","5,688",1900,2,C4,2 ,2019/12/18
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,372,12,,D9,278 EAST 3RD STREET,,10009,18,0,18,"5,095","26,780",1900,2,D9,2583642 ,2019/7/30
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,392,43,,D3,N/A EAST 9TH STREET,,10009,14,0,14,"2,768","14,572",2019,2,D3,0 ,2020/5/20
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,393,25,,D5,636-640 EAST 11TH STREET,,10009,30,0,30,"7,109","27,362",1985,2,D5,0 ,2019/9/11
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,393,46,,D1,379 EAST 10TH STREET,,10009,13,0,13,"2,369","8,493",2001,2,D1,975000 ,2019/8/8
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,396,29,,D6,644 EAST 14TH STREET,,10009,50,2,52,"10,098","66,043",2017,2,D6,31289811 ,2020/4/29
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,405,17,,D9,520 EAST 12TH STREET,,10009,41,0,41,"5,163","31,500",1930,2,D9,0 ,2019/9/26
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,40,,C6,"327 EAST 3RD STREET, 4B",,10009,,,,,,1920,2,C6,550000 ,2019/10/30
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,40,,C6,"327 EAST 3RD STREET, 3E",,10009,,,,,,1920,2,C6,495000 ,2020/3/12
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,46,,C6,"317 EAST 3RD STREET, 13",,10009,,,,,,1925,2,C6,590000 ,2020/3/4
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,46,,C6,"317 EAST 3RD STREET, B",,10009,,,,,,1925,2,C6,690000 ,2019/12/9
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,49,,C6,"311 EAST 3RD STREET, 30",,10009,,,,,,1920,2,C6,465000 ,2019/10/28
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,373,49,,C6,"311 EAST 3RD STREET, 29",,10009,,,,,,1920,2,C6,420000 ,2019/10/4
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,16,,C6,"248 EAST 7TH STREET, 3-4",,10009,,,,,,1928,2,C6,560000 ,2020/5/26
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,18,,C6,"252 EAST 7TH STREET, 2",,10009,,,,,,1928,2,C6,390000 ,2020/1/22
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,19,,C6,"254 EAST 7TH STREET, 15/16",,10009,,,,,,1910,2,C6,1575000 ,2019/12/5
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,59,,C6,"257 EAST 7TH STREET, 6",,10009,,,,,,1900,2,C6,690000 ,2019/7/25
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,62,,C6,"249 E. 7TH STREET, 15",,10009,,,,,,2001,2,C6,610000 ,2020/2/14
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,62,,C6,"249 EAST 7TH STREET, 7",,10009,,,,,,2001,2,C6,650000 ,2020/2/14
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,379,15,,C6,"412-414 EAST 10TH STREET, 3C",,10009,,,,,,1930,2,C6,295000 ,2019/8/19
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,379,15,,C6,"414 EAST 10TH STREET, 2C",,10009,,,,,,1930,2,C6,305000 ,2019/9/24
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,387,37,,C6,"55 AVENUE C, 24",,10009,,,,,,1900,2,C6,599000 ,2019/6/3
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,389,2,,C6,"95 AVENUE B, 3",,10009,,,,,,1900,2,C6,2075000 ,2019/6/12
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,17,,C6,"198 EAST 7TH STREET, 12",,10009,,,,,,1930,2,C6,257500 ,2020/3/2
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,17,,C6,"198 EAST 7TH, #5",,10009,,,,,,1930,2,C6,125000 ,2019/10/23
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,20,,C6,"204 EAST 7TH STREET, 21",,10009,,,,,,1900,2,C6,810000 ,2020/3/6
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,21,,C6,"206 EAST 7TH STREET, 5",,10009,,,,,,1900,2,C6,375000 ,2020/3/27
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,21,,C6,"206 EAST 7TH STREET, 2",,10009,,,,,,1900,2,C6,396000 ,2019/12/13
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,389,26,,C6,"216 EAST 7TH ST, 7",,10009,,,,,,1925,2,C6,730000 ,2019/11/22
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,389,48,,C6,"625 EAST 6TH STREET, 8",,10009,,,,,,1910,2,C6,675000 ,2019/6/25
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,54,,C6,"613 EAST 6TH STREET, 2B",,10009,,,,,,1920,2,C6,720000 ,2020/5/15
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,14,,C6,"618 EAST 9TH STREET, 5W",,10009,,,,,,1910,2,C6,355000 ,2019/7/25
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,14,,C6,"616 EAST 9TH STREET, 3E",,10009,,,,,,1910,2,C6,505000 ,2019/10/8
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,20,,C6,"626 E. 9TH STREET, 2F",,10009,,,,,,1910,2,C6,701000 ,2019/11/11
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,48,,C6,"323 EAST 8TH STREET, 4C",,10009,,,,,,1910,2,C6,370000 ,2019/6/21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,48,,C6,"323 EAST 8TH STREET, 1B",,10009,,,,,,1910,2,C6,960000 ,2019/8/20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,48,,C6,"323 EAST 8TH ST, 6C",,10009,,,,,,1910,2,C6,362000 ,2019/11/19
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,56,,C6,"307 EAST 8TH STREET, 5A",,10009,,,,,,1900,2,C6,810000 ,2019/7/16
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,392,9,,C6,"348 EAST 10 STREET, 4A",,10009,,,,,,1900,2,C6,250000 ,2019/12/12
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,393,39,,C6,"393 EAST 10TH STREET, 1",,10009,,,,,,1900,2,C6,0 ,2020/1/22
